"","txt","id","name","symbol","slug"
"72","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1274,"Waves","WAVES","waves"
"73","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1727,"Bancor","BNT","bancor"
"74","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2499,"SwissBorg","CHSB","swissborg"
"75","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",4558,"Flow","FLOW","flow"
"76","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",4847,"Stacks","STX","stacks"
"77","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",109,"DigiByte","DGB","digibyte"
"78","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",5777,"renBTC","RENBTC","renbtc"
"79","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2566,"Ontology","ONT","ontology"
"80","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",2405,"IOST","IOST","iostoken"
"81","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",4779,"HUSD","HUSD","husd"
"82","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",5567,"Celo","CELO","celo"
"83","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",3822,"Theta Fuel","TFUEL","theta-fuel"
"84","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",7129,"TerraUSD","UST","terrausd"
"85","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1567,"Nano","NANO","nano"
"86","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1934,"Loopring","LRC","loopring"
"87","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",3330,"Paxos Standard","PAX","paxos-standard"
"88","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1808,"OMG Network","OMG","omg"
"89","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",1966,"Decentraland","MANA","decentraland"
"90","INSERT INTO CMC('ID', 'NAME', 'SYMBOL', 'SLUG') VALUES (",4066,"Chiliz","CHZ","chiliz"
