1376;"NEO";62;22.08214193;273166588.295167;273166588.295167;0;0;0.435334;0.91362;16.470725;18.78010945;37.94330527;-18.09656678;0.0886;0.17537114;2022-03-23;"2022-03-23-23:26:01"
3602;"BSV";63;81.88773847;127636421.325276;127636421.325276;0;0;0.196705;-2.442777;14.077171;10.04395563;1.45387629;-29.99976092;0.0886;0.08198102;2022-03-23;"2022-03-23-23:26:01"
10791;"XEC";64;7.528e-05;26127180.2334518;26127180.2334518;0;0;0.026845;-2.435681;2.079806;18.9911707;23.03073463;-27.51591028;0.0814;0.01825499;2022-03-23;"2022-03-23-23:26:01"
1934;"LRC";65;1.05085988;2339258433.97135;2339258433.97135;0;0;1.378098;40.877214;59.762079;52.63514886;58.46415312;-49.79383484;0.0795;1.67412451;2022-03-23;"2022-03-23-23:26:01"
3155;"QNT";66;114.90888991;39585029.3026405;39585029.3026405;0;0;0.226326;-2.760871;8.996941;16.99532723;28.18004767;-35.75763386;0.0789;0.02853459;2022-03-23;"2022-03-23-23:26:01"
2087;"KCS";67;16.76763356;3917432.06596805;3917432.06596805;0;0;0.109625;-0.045287;-0.561829;1.42776031;23.23126621;-20.53264302;0.0764;0.00291606;2022-03-23;"2022-03-23-23:26:01"
2502;"HT";68;8.27466715;25088567.6706434;25088567.6706434;0;0;-0.132616;-1.180802;0.103108;-4.40341602;5.58251588;-8.92425974;0.0733;0.01947655;2022-03-23;"2022-03-23-23:26:01"
131;"DASH";69;118.32039558;474060620.755313;474060620.755313;0;0;-0.616329;-1.214117;30.926993;46.55723569;35.28255213;-10.81755669;0.0716;0.37662623;2022-03-23;"2022-03-23-23:26:01"
5034;"KSM";70;147.53042257;87520293.6821486;87520293.6821486;0;0;-0.719412;2.472407;22.863315;26.61214178;-13.98295181;-44.39064081;0.0711;0.07003881;2022-03-23;"2022-03-23-23:26:01"
2563;"TUSD";71;0.9084576;191517513.669325;191517513.669325;0;0;-0.201848;-0.72365;-1.637349;0.0262381;-0.05596476;-0.03428245;0.0704;0.15470456;2022-03-23;"2022-03-23-23:26:01"
5567;"CELO";72;2.85236961;187598557.143709;187598557.143709;0;0;0.26366;6.921157;21.121051;29.7236073;-1.85896972;-35.50077365;0.0694;0.15388658;2022-03-23;"2022-03-23-23:26:01"
2130;"ENJ";73;1.38708526;158573724.997013;158573724.997013;0;0;-0.654346;3.665145;6.565604;8.14977954;2.65697545;-47.74898434;0.0688;0.13106891;2022-03-23;"2022-03-23-23:26:01"
2694;"NEXO";74;2.06377874;7559503.18376818;7559503.18376818;0;0;-0.569741;1.968384;2.047451;20.31549707;26.56605946;-4.38158332;0.0658;0.00654097;2022-03-23;"2022-03-23-23:26:01"
4066;"CHZ";75;0.19093476;149371316.718539;149371316.718539;0;0;-0.518952;-0.082332;2.765061;22.42381836;19.95366012;-32.99058417;0.0652;0.13037912;2022-03-23;"2022-03-23-23:26:01"
1697;"BAT";76;0.75413561;101491672.376802;101491672.376802;0;0;-0.005746;0.862553;-0.183807;25.85354308;16.83018446;-36.26473726;0.0642;0.08990574;2022-03-23;"2022-03-23-23:26:01"
3897;"OKB";77;18.1666185;168712270.787538;168712270.787538;0;0;0.660592;0.520056;3.703186;8.87888024;-0.31406318;-35.93023051;0.062;0.15478231;2022-03-23;"2022-03-23-23:26:01"
9903;"CVX";78;18.98483191;11112504.764694;11112504.764694;0;0;-0.150505;-0.48254;12.225806;-4.56734022;-22.6705522;-53.58450283;0.0593;0.01066347;2022-03-23;"2022-03-23-23:26:01"
6945;"AMP";79;0.02418803;18191363.4467578;18191363.4467578;0;0;-0.004749;-0.756305;4.022804;1.71293468;-10.20476846;-46.86233494;0.0581;0.01781014;2022-03-23;"2022-03-23-23:26:01"
6538;"CRV";80;2.14666231;179767295.28174;179767295.28174;0;0;0.319239;3.33791;12.231935;-1.04218926;-17.3790079;-54.03619077;0.0569;0.17978357;2022-03-23;"2022-03-23-23:26:01"
5632;"AR";81;29.77933971;55023589.4313624;55023589.4313624;0;0;-1.053011;0.911155;-4.611298;35.86914317;5.33249742;-42.94922819;0.0566;0.05532944;2022-03-23;"2022-03-23-23:26:01"
8646;"MINA";82;2.31797821;303329435.245837;303329435.245837;0;0;-1.500933;15.316228;36.384454;16.81508653;9.42662246;-31.04889276;0.0565;0.30523562;2022-03-23;"2022-03-23-23:26:01"
5647;"KDA";83;5.72675939;64420818.245076;64420818.245076;0;0;0.052422;1.671497;-0.166655;5.23339657;24.35509426;-44.6020871;0.0558;0.06567368;2022-03-23;"2022-03-23-23:26:01"
873;"XEM";84;0.09830513;22078202.161224;22078202.161224;0;0;-0.066213;-0.956554;7.933355;15.97550027;15.10885108;-22.48889363;0.0503;0.02495428;2022-03-23;"2022-03-23-23:26:01"
3330;"USDP";85;0.90967398;6064259.46317158;6064259.46317158;0;0;-0.392832;-0.516672;-1.799193;0.36561272;0.11679247;0.11212311;0.0489;0.00704961;2022-03-23;"2022-03-23-23:26:01"
3822;"TFUEL";86;0.15784039;32939429.6871688;32939429.6871688;0;0;1.909309;0.963335;5.31748;3.83027342;31.55113624;-22.47424582;0.0476;0.03936612;2022-03-23;"2022-03-23-23:26:01"
7653;"ROSE";87;0.23886266;147463470.036475;147463470.036475;0;0;-0.490552;2.314291;14.489899;17.32202887;-14.57025983;-17.23805765;0.0475;0.1767404;2022-03-23;"2022-03-23-23:26:01"
2777;"IOTX";88;0.08616565;198654904.75711;198654904.75711;0;0;1.069899;0.063253;23.786046;28.4764842;31.74165199;-24.76672319;0.0468;0.24164692;2022-03-23;"2022-03-23-23:26:01"
8677;"XYM";89;0.13418889;13945090.5593537;13945090.5593537;0;0;1.084725;6.735954;7.731172;-0.92041194;-1.99694435;-41.75462195;0.0426;0.01861569;2022-03-23;"2022-03-23-23:26:01"
1168;"DCR";90;53.49543982;3790713.21684005;3790713.21684005;0;0;0.658249;1.080855;5.861633;14.43867158;7.11049931;-23.27622061;0.0422;0.00510801;2022-03-23;"2022-03-23-23:26:01"
2682;"HOT";91;0.00421277;56895042.329755;56895042.329755;0;0;0.454686;1.435253;10.267435;8.71851527;7.18206518;-46.45647046;0.0415;0.07793966;2022-03-23;"2022-03-23-23:26:01"
3801;"BORA";92;0.84229943;136604917.94605;136604917.94605;0;0;-0.243966;6.534322;8.391385;3.52102374;17.25040481;-20.09312986;0.0413;0.18830879;2022-03-23;"2022-03-23-23:26:01"
1684;"QTUM";93;7.1658693;414291432.992284;414291432.992284;0;0;0.071877;3.078897;29.695769;36.16828164;43.1266521;-21.49483379;0.0404;0.5836343;2022-03-23;"2022-03-23-23:26:01"
5604;"SCRT";94;4.31400234;15588461.0914228;15588461.0914228;0;0;-0.104869;0.474655;0.84438;-13.36443091;-13.64488507;-9.34098529;0.0401;0.02212832;2022-03-23;"2022-03-23-23:26:01"
2083;"BTG";95;40.00725145;148125255.814064;148125255.814064;0;0;-0.545245;-0.158948;45.629165;58.68800127;53.1129352;-1.73652736;0.0399;0.21140096;2022-03-23;"2022-03-23-23:26:01"
5692;"COMP";96;104.73725237;73516947.6165121;73516947.6165121;0;0;-0.158253;-0.474678;3.447412;6.13584733;-4.47466525;-49.90407083;0.0396;0.10554543;2022-03-23;"2022-03-23-23:26:01"
2700;"CEL";97;2.9018202;2638929.61786526;2638929.61786526;0;0;-0.274253;-2.033852;-0.805689;3.97209581;24.4836488;-19.70476172;0.0394;0.00380722;2022-03-23;"2022-03-23-23:26:01"
4279;"SXP";98;1.43075888;101240973.366009;101240973.366009;0;0;-0.024961;2.747295;15.547951;31.54826949;23.422082;-5.39561564;0.0391;0.14743653;2022-03-23;"2022-03-23-23:26:01"
5864;"YFI";99;18446.46143007;73262910.947285;73262910.947285;0;0;-0.224602;-1.117214;4.284423;1.14001963;-10.23993464;-35.54717362;0.0385;0.10840334;2022-03-23;"2022-03-23-23:26:01"
